Id,Municipi,Latitud,Longitud,Activitat,Categoria
44604,Castellfollit de la Roca,42.21958446520701,2.545196641484056,Natacio,aquatiques
44609,Castellfollit de la Roca,42.21963754038908,2.544953931754077,Condicionament fisic (activitats dirigides),fitness
44611,Castellfollit de la Roca,42.21951839393756,2.544433781167127,Basquet,equip
44612,Castellfollit de la Roca,42.21951839393756,2.544433781167127,Futbol-7,equip
44615,Castellfollit de la Roca,42.21979831707041,2.546891413149582,Musculacio i tonificacio,fitness
44620,Castelló d'Empúries,42.25759630111569,3.072196895818647,Handbol,equip
44621,Castelló d'Empúries,42.25759630111569,3.072196895818647,Condicionament fisic (activitats dirigides),fitness
44622,Castelló d'Empúries,42.25759630111569,3.072196895818647,Futbol sala,equip
44623,Castelló d'Empúries,42.25759630111569,3.072196895818647,Voleibol,equip
44624,Castelló d'Empúries,42.25759630111569,3.072196895818647,Voleibol,equip
44628,Castelló d'Empúries,42.25886123011275,3.079678837855577,Condicionament fisic (activitats dirigides),fitness
44629,Castelló d'Empúries,42.25886123011275,3.079678837855577,Handbol,equip
44631,Castelló d'Empúries,42.25886123011275,3.079678837855577,Futbol,equip
44632,Castelló d'Empúries,42.25886123011275,3.079678837855577,Futbol,equip
44637,Castelló d'Empúries,42.25613734866108,3.07209824399325,Futbol,equip
44642,Castelló d'Empúries,42.264553842937424,3.10163239272177,Futbol,equip
44643,Castelló d'Empúries,42.264553842937424,3.10163239272177,Natacio,aquatiques
44644,Castelló d'Empúries,42.264553842937424,3.10163239272177,Basquet,equip
44650,Castelló d'Empúries,42.25603818065283,3.072255735821234,Handbol,equip
44672,Castelló d'Empúries,42.26038886379607,3.106148059430633,Natacio,aquatiques
44676,Castelló d'Empúries,42.25262609526419,3.07017884380325,Natacio,aquatiques
44677,Castelló d'Empúries,42.25262609526419,3.07017884380325,Natacio recreativa,aquatiques
44679,Castelló d'Empúries,42.25784384275369,3.079216853024232,Handbol,equip
44680,Castelló d'Empúries,42.25784384275369,3.079216853024232,Handbol,equip
44683,Castelló d'Empúries,42.25784384275369,3.079216853024232,Voleibol,equip
44686,Castelló d'Empúries,42.252626266793854,3.131459550454029,Futbol-7,equip
44687,Castelló d'Empúries,42.252626266793854,3.131459550454029,Natacio,aquatiques
44688,Castelló d'Empúries,42.252626266793854,3.131459550454029,Natacio,aquatiques
44692,Castelló d'Empúries,42.26050495253859,3.107215192495508,Futbol-7,equip
44693,Castelló d'Empúries,42.26050495253859,3.107215192495508,Futbol,equip
44694,Castelló d'Empúries,42.26050495253859,3.107215192495508,Futbol,equip
44695,Castelló d'Empúries,42.26050495253859,3.107215192495508,Futbol,equip
44702,Castelló d'Empúries,42.24259556057353,3.12945090333371,Futbol sala,equip
44703,Castelló d'Empúries,42.24259556057353,3.12945090333371,Basquet lliure 3x3,equip
44704,Castelló d'Empúries,42.24259556057353,3.12945090333371,Volei platja,equip
44705,Castelló d'Empúries,42.24259556057353,3.12945090333371,Futbol platja,equip
44710,Castelló d'Empúries,42.25160976085864,3.138100621430263,Surf de vela (windsurf),aquatiques
44711,Castelló d'Empúries,42.25160976085864,3.138100621430263,Volei platja,equip
44712,Castelló d'Empúries,42.23571060604086,3.125073793242572,Vela lleugera (no olimpica),aquatiques
44713,Castelló d'Empúries,42.23571060604086,3.125073793242572,Volei platja,equip
44720,Castelló d'Empúries,42.25176361991789,3.1031271849534,Musculacio i tonificacio,fitness
44721,Castelló d'Empúries,42.25527684165634,3.136823552262744,Natacio,aquatiques
44722,Castelló d'Empúries,42.25527684165634,3.136823552262744,Natacio,aquatiques
44723,Castelló d'Empúries,42.25527684165634,3.136823552262744,Futbol sala,equip
44726,Castelló d'Empúries,42.24137360670825,3.126854589591594,Natacio recreativa,aquatiques
44727,Castelló d'Empúries,42.24065674325456,3.123520016679201,Natacio recreativa,aquatiques
44728,Castelló d'Empúries,42.24065674325456,3.123520016679201,Natacio recreativa,aquatiques
44729,Castelló d'Empúries,42.24005287877738,3.12393093194604,Natacio recreativa,aquatiques
44731,Castelló d'Empúries,42.24005287877738,3.12393093194604,Natacio recreativa,aquatiques
44732,Castelló d'Empúries,42.24005287877738,3.12393093194604,"Cardiovasculars (activitats en cinta, eliptica, rem,...)",fitness
44733,Castelló d'Empúries,42.24801040699897,3.119231085150438,Natacio,aquatiques
44735,Castelló d'Empúries,42.20651751896821,3.101357607573453,Esquaix,fitness
44736,Castelló d'Empúries,42.20651751896821,3.101357607573453,Handbol,equip
44740,Castelló d'Empúries,42.20651751896821,3.101357607573453,Natacio recreativa,aquatiques
44741,Castelló d'Empúries,42.20651751896821,3.101357607573453,Natacio recreativa,aquatiques
44757,Castelló d'Empúries,42.23768925174435,3.119187414209358,Natacio,aquatiques
44760,Castelló d'Empúries,42.23768925174435,3.119187414209358,Futbol sala,equip
44761,Castelló d'Empúries,42.23768925174435,3.119187414209358,Natacio,aquatiques
44765,Castelló d'Empúries,42.23768925174435,3.119187414209358,Natacio recreativa,aquatiques
44772,Castelló d'Empúries,42.25831538339455,3.074416386313227,Natacio,aquatiques
44773,Castelló d'Empúries,42.25545299122812,3.106624715115746,Natacio recreativa,aquatiques
44774,Castelló d'Empúries,42.25569569680594,3.1071221824589,Natacio recreativa,aquatiques
44775,Castelló d'Empúries,42.25569569680594,3.1071221824589,Musculacio i tonificacio,fitness
44778,Castelló d'Empúries,42.25509019614415,3.109327591484147,Natacio,aquatiques
44779,Castelló d'Empúries,42.25979631876957,3.104110206088159,Natacio,aquatiques
44780,Castelló d'Empúries,42.26326961835653,3.10748662270319,Natacio recreativa,aquatiques
44781,Castelló d'Empúries,42.2525835373491,3.10274059159842,Natacio,aquatiques
44782,Castelló d'Empúries,42.2525835373491,3.10274059159842,Natacio recreativa,aquatiques
44783,Castelló d'Empúries,42.24996926949651,3.105439617885688,Natacio recreativa,aquatiques
44784,Castelló d'Empúries,42.25462345362672,3.107653787505036,Natacio recreativa,aquatiques
44785,Castelló d'Empúries,42.25462345362672,3.107653787505036,Natacio recreativa,aquatiques
44786,Castelló d'Empúries,42.2553688220925,3.109922115179743,Natacio,aquatiques
44787,Castelló d'Empúries,42.25654672172459,3.102262082641387,Natacio,aquatiques
44788,Castelló d'Empúries,42.24869264648988,3.129596711115829,Condicionament fisic (activitats dirigides),fitness
44789,Castelló d'Empúries,42.24869264648988,3.129596711115829,Natacio,aquatiques
44790,Castelló d'Empúries,42.24869264648988,3.129596711115829,Musculacio i tonificacio,fitness
44791,Castelló d'Empúries,42.24869264648988,3.129596711115829,Ciclisme en sala (spinning),fitness
44792,Castelló d'Empúries,42.24869264648988,3.129596711115829,Condicionament fisic (activitats dirigides),fitness
44793,Castelló d'Empúries,42.24869264648988,3.129596711115829,Boxa,lluita
44809,Castelló d'Empúries,42.25189733021914,3.10465485678927,Natacio recreativa,aquatiques
44810,Castelló d'Empúries,42.24753446427218,3.126345694188816,Natacio recreativa,aquatiques
44811,Castelló d'Empúries,42.24761412496344,3.127606523457176,Vela creuers,aquatiques
44813,Castelló d'Empúries,42.24543528340885,3.126996061836407,Natacio recreativa,aquatiques
44814,Castelló d'Empúries,42.24543528340885,3.126996061836407,Natacio recreativa,aquatiques
44815,Castelló d'Empúries,42.26069659021999,3.104499665832847,Natacio recreativa,aquatiques
44816,Castelló d'Empúries,42.26069659021999,3.104499665832847,Musculacio i tonificacio,fitness
44817,Castelló d'Empúries,42.25827876481151,3.075325633814528,Natacio recreativa,aquatiques
44818,Castelló d'Empúries,42.258992117544096,3.072440968249652,Musculacio i tonificacio,fitness
44819,Castelló d'Empúries,42.258992117544096,3.072440968249652,Condicionament fisic (activitats dirigides),fitness
44823,Castelló d'Empúries,42.25902240839048,3.081012682570182,Futbol sala,equip
44824,Castelló d'Empúries,42.25902240839048,3.081012682570182,Basquet,equip
44825,Castelló d'Empúries,42.25902240839048,3.081012682570182,Escalada esportiva,muntanya
44837,Castelló d'Empúries,42.261635735483765,3.101724702368625,Basquet,equip
44840,Castelló d'Empúries,42.25932743546666,3.069058735105564,Musculacio i tonificacio,fitness
44842,Castelló d'Empúries,42.257972123248,3.118473925148972,Musculacio i tonificacio,fitness
44844,Castelló d'Empúries,42.260458179078,3.099140335670027,Condicionament fisic (activitats dirigides),fitness
44845,Castelló d'Empúries,42.260458179078,3.099140335670027,Futbol,equip
44846,Castelló d'Empúries,42.260458179078,3.099140335670027,Voleibol,equip
44847,Castelló d'Empúries,42.2597554926594,3.099369593890694,Basquet,equip
44848,Castelló d'Empúries,42.2597554926594,3.099369593890694,Futbol,equip
44849,Castelló d'Empúries,42.24868064733901,3.106225404115366,Natacio recreativa,aquatiques
44850,Castelló d'Empúries,42.25478390273253,3.10941192489693,Natacio recreativa,aquatiques
44851,Castelló d'Empúries,42.260265497947735,3.10316528610661,Natacio recreativa,aquatiques
44852,Castelló d'Empúries,42.24951918051557,3.131392487768011,Natacio recreativa,aquatiques
44854,Castelló d'Empúries,42.24951918051557,3.131392487768011,Natacio recreativa,aquatiques
44855,Castelló d'Empúries,42.25326782792102,3.102947791715669,Natacio recreativa,aquatiques
44856,Castelló d'Empúries,42.25260157762413,3.11231762155645,Natacio recreativa,aquatiques
44859,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Condicionament fisic (activitats dirigides),fitness
44860,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Futbol sala,equip
44861,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Basquet,equip
44863,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Futbol sala,equip
44864,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Voleibol,equip
44865,Castell-Platja d'Aro,41.81375815415503,3.058813844694524,Minibasquet,equip
44872,Castell-Platja d'Aro,41.80538239687098,3.03498275806384,Natacio recreativa,aquatiques
44873,Castell-Platja d'Aro,41.80538239687098,3.03498275806384,Natacio recreativa,aquatiques
44881,Castell-Platja d'Aro,41.80538239687098,3.03498275806384,Basquet,equip
44882,Castell-Platja d'Aro,41.80538239687098,3.03498275806384,Futbol sala,equip
44883,Castell-Platja d'Aro,41.80538239687098,3.03498275806384,Volei platja,equip
44886,Castell-Platja d'Aro,41.80980970488762,3.046590706913815,Natacio recreativa,aquatiques
44887,Castell-Platja d'Aro,41.80980970488762,3.046590706913815,Natacio recreativa,aquatiques
44888,Castell-Platja d'Aro,41.80980970488762,3.046590706913815,Natacio recreativa,aquatiques
